pango_lineages,EVEscape.score_sigmoid.avg,EVEscape.score_sigmoid.max,EVEscape.score_pos.avg,EVEscape.score_pos.max
JN.1.16.1,10.3356245112557,11.0647278339048,180.2012287,191.7841411
JN.1.17,10.472122013459,10.878255125623,184.060614867213,190.6685709
JN.1.18,9.87017970153888,13.2364210435917,171.496127204225,225.2880001
JN.1.18.1,11.123847939853,11.123847939853,189.702404,189.702404
JN.1.18.5,9.85123512135984,10.1692187300062,174.41132846,179.0706646
JN.1.19,10.1807410387731,11.1849310862125,178.338231180504,195.055835
JN.1.2,10.0881777868814,10.9244536119502,177.969892528846,192.0973862
JN.1.2.1,10.6435504976413,10.8420380683128,186.592949695833,190.1891327
JN.1.20,9.9086954957858,10.9506500694207,174.732570994737,190.8738398
JN.1.21,9.99590349336922,10.8546032560345,176.323044051456,190.1472238
JN.1.22,9.86175426343081,10.8532293835205,172.724538617338,190.0421382
JN.1.24,10.0998079700479,10.9443238168083,177.621020255882,193.1498206
JN.1.25,8.49129297631264,10.5122765376069,149.654693436364,183.7326895
JN.1.25.1,9.76691838649853,10.8532293835205,170.76330705,188.0868482
JN.1.26,10.8328241086697,10.8532293835205,187.626664628571,188.0868482
JN.1.27,10.7367244643865,10.7367244643865,187.5059677,187.5059677
JN.1.28,10.4938448661452,10.6859006573024,183.445643885714,187.1857421
JN.1.28.1,10.2163936506347,10.5122765376069,178.672831715385,183.7326895
JN.1.29,10.1106231361733,10.8532293835205,176.680649450235,188.0868482
JN.1.29.1,10.8007952465675,10.8007952465675,189.9596532,189.9596532
JN.1.3,10.0718131738353,10.849309753627,176.340043983929,190.0421382
JN.1.30,10.1264298390878,10.8572973052948,177.297130681513,188.1280249
JN.1.30.1,9.60798873704645,10.8532293835205,167.83369722,188.0868482
JN.1.31,8.9914591421563,10.8682747630989,157.486624676647,190.6358388
JN.1.32,9.98981903880719,11.022758524449,175.789079925874,193.8009842
JN.1.34,10.4244699692692,10.9103462013665,183.838541144444,193.1388164
JN.1.35,10.6173309696975,10.917770857981,186.464947344444,190.9034909
JN.1.36,10.6274569020803,11.1329332911934,185.63742204,194.6837978
JN.1.36.1,10.3499088083072,10.9269328999563,181.848115504545,191.0200677
JN.1.37,10.0590558563559,10.7666395340671,177.451946834043,190.1661001
JN.1.38,9.60463455259399,11.1125148982987,169.459459664972,194.7932446
JN.1.39,9.87465659174281,11.0814475460089,173.019364216251,206.1584764
JN.1.39.3,10.7300708733955,10.7300708733955,187.4673326,187.4673326
JN.1.4,9.93765000335065,17.5108567078726,174.027832258897,308.764088
JN.1.4.1,10.4235478710377,11.0327029199092,182.437460182258,194.0098448
JN.1.4.2,10.5808774982806,10.970618889745,185.291553351145,191.3148997
JN.1.4.3,9.83484953380708,10.7377157588829,173.215635455555,189.5986572
JN.1.4.4,10.7219310013301,11.0011136210747,185.533021458333,191.3487652
JN.1.4.5,10.0165930185211,11.4314956814024,175.328227925456,205.901438
JN.1.4.6,10.4242262635711,10.980241115289,183.486372123809,190.9626867
JN.1.4.7,9.8707324106611,10.7442301797194,172.883876569512,191.1123584
JN.1.40,8.39245688914162,8.39245688914162,150.2316193,150.2316193
JN.1.41,10.2884196875174,10.9046444834828,181.170737634247,192.9325836
JN.1.42,9.99199598336342,12.5790795959542,174.878229052881,217.9072275
JN.1.42.1,10.2629808518228,10.8924400474967,179.669045044444,190.860069
JN.1.43,9.73962041648963,10.8846192769664,170.655349904681,192.8858359
JN.1.43.1,10.3530259825754,10.8979760723905,181.102613870422,191.5184208
JN.1.44,9.43195650681013,10.782931250101,165.717279253846,189.6814729
JN.1.44.1,10.8305196103148,11.0894787779982,187.485585046667,191.9267045
JN.1.45,10.253871457915,10.9242032776351,179.601950637017,195.1121498
JN.1.46,10.186554923873,10.8248706459505,178.218152504,190.2200199
JN.1.47,10.0861710617871,10.8137299475397,176.428986771765,187.9055127
JN.1.47.1,10.3799498653425,10.6693772105302,182.124000697059,187.0659384
JN.1.47.2,8.94599627850345,11.0793166208311,159.28090126,194.0669674
JN.1.48,8.05765947700716,10.5122765376069,142.18213475,183.7326895
JN.1.49,9.75811690458368,10.7442301797194,170.730429855,187.5446241
JN.1.49.1,10.8532293835205,10.8532293835205,188.0868482,188.0868482
JN.1.5,10.0339547616401,11.006466809587,175.821409307189,191.4750478
JN.1.51,9.72789430053049,10.5122765376069,170.158306251852,183.7326895
JN.1.52,10.2422929912602,10.8259362222384,179.098084128218,189.5267727
JN.1.53,9.96438521697976,11.0848992665307,174.630694021667,191.9072507
JN.1.53.1,9.50900236978653,10.3334729956732,167.7267402,180.2439546
JN.1.54,9.09165679302193,10.6196934561294,159.817431383333,186.6284972
JN.1.55,10.0431600699601,10.969837838558,175.930687930824,193.5905886
JN.1.56,9.92834105879468,10.577074321913,173.672795433333,185.9752828
JN.1.57,10.1353126208241,10.7357991045779,177.4818175875,187.5006439
JN.1.58,9.76500928157961,10.7384291032839,171.094626548333,187.5157342
JN.1.58.2,10.8532293835205,10.8532293835205,188.0868482,188.0868482
JN.1.58.3,9.91723776295188,10.3146280366396,176.40771605,182.3773613
JN.1.59,7.93610323231547,11.6147533016226,138.320078728571,197.4485075
JN.1.6,10.1335068247509,10.8692011926537,177.4064729279,190.6116585
JN.1.6.1,10.0638709121946,11.1257054135254,174.926938371765,194.2289998
JN.1.60,10.3611200866844,10.6243797619346,180.976546038889,186.6764637
JN.1.61,10.564797674516,10.8527293186434,184.058448255556,190.4231939
JN.1.63,10.094422183344,10.7820973415737,176.594513372,190.0421382
JN.1.63.1,8.55133276428225,10.6591173789938,153.218951698305,187.0383209
JN.1.64,10.149844602417,10.8477052723641,177.415502645679,188.0621665
JN.1.64.1,10.7839369235011,10.8532293835205,186.49379,188.0868482
JN.1.65,10.4232597499289,10.6042435964393,182.935996016667,186.4560489
JN.1.7,10.3737358830831,11.06456036863,183.509028736025,193.8518013
JN.1.7.1,10.9631461626978,10.9631461626978,193.3497539,193.3497539
JN.1.7.2,10.7639163214311,11.0497761604096,189.239262354545,193.7847225
JN.1.7.4,8.4779936787622,8.4779936787622,152.2498061,152.2498061
JN.1.7.5,9.98823243347832,11.8523508097671,176.627962495652,205.1677892
JN.1.8,9.91132319828629,10.8252351991204,173.560609345367,190.2595911
JN.1.8.1,10.4160848161933,10.9396723311965,183.196590462686,190.7855259
