Country	num_isolates	seq_frequency	country_score	date
USA	190474	0.3228252505838765	15.275107794493715	07-2022
Japan	57502	0.09745738294504273	15.240565607071716	07-2022
United Kingdom	46473	0.07876485961540416	15.174256567643951	07-2022
Germany	34223	0.058002921924945175	15.06201802012422	07-2022
France	26577	0.04504408310198603	15.099133776749513	07-2022
Israel	22089	0.03743758707302439	15.10536598660465	07-2022
Denmark	18656	0.03161915996352679	15.139377737118656	07-2022
Canada	17794	0.030158197490941015	15.2591166541344	07-2022
India	13794	0.023378789265485016	14.74094743371422	07-2022
Austria	12976	0.021992400283379263	13.401668689092093	07-2022
Brazil	11104	0.018819637233865857	15.098722488890896	07-2022
Australia	11050	0.018728115222822198	15.216057742072495	07-2022
Spain	10434	0.017684086356101976	15.10103709973144	07-2022
Sweden	8266	0.014009647097904823	15.134092670470256	07-2022
Belgium	7360	0.01247411113483904	15.11026615536314	07-2022
Italy	7247	0.012282592852469907	15.062929981231758	07-2022
South Korea	6907	0.011706343153306148	14.140285180199744	07-2022
Peru	5561	0.009425072285440204	15.245989613676148	07-2022
Mexico	5392	0.009138642287914688	15.224178094979552	07-2022
Netherlands	5051	0.008560697736694564	15.119585552518757	07-2022
Russia	5017	0.008503072766778188	15.060042394354417	07-2022
Indonesia	4161	0.007052279406530604	15.167080280812062	07-2022
New Zealand	3434	0.005820121961553976	15.183784972897069	07-2022
Ireland	3416	0.005789614624539424	15.16839429374562	07-2022
Malaysia	3117	0.005282853859686588	15.077455547914028	07-2022
Luxembourg	2831	0.004798126171566484	15.103363733339917	07-2022
Slovakia	2586	0.004382887417757304	15.117161557404042	07-2022
Chile	2262	0.003833755351495368	15.201709462537249	07-2022
Switzerland	2248	0.003810027422706272	15.10256857767453	07-2022
Czech Republic	2243	0.003801553162424452	15.094694145792054	07-2022
Slovenia	2080	0.00352529227723712	15.104249572923791	07-2022
Croatia	1880	0.00318632186596432	15.115017415626278	07-2022
Singapore	1750	0.002965991098637	15.135530095442451	07-2022
Finland	1721	0.002916840389002444	15.18120495099239	07-2022
Thailand	1691	0.002865994827311524	15.089795100919916	07-2022
Portugal	1486	0.002518550155756904	15.109359303878753	07-2022
Greece	1485	0.00251685530370054	15.145783775345253	07-2022
Hong Kong	1484	0.002515160451644176	15.662908382342772	07-2022
Norway	1356	0.002298219388429584	15.124126819078295	07-2022
Philippines	1313	0.002225340750005932	15.147035798802404	07-2022
Turkey	1173	0.001988061462114972	15.08469293628567	07-2022
Romania	1122	0.001901624007240408	15.100144091219525	07-2022
Puerto Rico	1120	0.00189823430312768	15.30787679915736	07-2022
Colombia	995	0.00168637779608218	15.251117045681184	07-2022
Poland	940	0.00159316093298216	15.073405405483996	07-2022
Argentina	911	0.001544010223347604	15.228643370688438	07-2022
Ecuador	812	0.001376219869767568	15.248318382124667	07-2022
Latvia	771	0.001306730935456644	15.13651344686609	07-2022
Costa Rica	718	0.001216903776469352	15.335420415055587	07-2022
Vietnam	615	0.00104233401466386	14.795521971072516	07-2022
South Africa	515	0.00087284880902746	15.14971851159971	07-2022
China	448	0.5167243367935409	0.0516544233604406	01-2020
France	94	0.10841983852364476	0.5719267455298755	01-2020
USA	71	0.08189158016147635	0.1918229894218396	01-2020
Hong Kong	59	0.06805074971164937	0.0303005337532872	01-2020
Thailand	34	0.0392156862745098	0.0557588206228733	01-2020
Lebanon	25	0.02883506343713956	0.603495436559762	01-2020
Australia	16	0.01845444059976932	0.1081961702215213	01-2020
Qatar	15	0.01730103806228374	0.1924938002807971	01-2020
Singapore	12	0.01384083044982699	0.0875088419474684	01-2020
Japan	12	0.01384083044982699	0.0396106836885532	01-2020
Germany	10	0.011534025374855825	0.2767346228970239	01-2020
Malaysia	9	0.010380622837370242	0.0370704674293874	01-2020
Vietnam	9	0.010380622837370242	0.0598600201256752	01-2020
USA	87880	0.3208681110843356	0.8602757016971397	01-2021
United Kingdom	69572	0.2540218050109171	3.1774331890853125	01-2021
Denmark	14804	0.05405247515353327	1.1607742248462916	01-2021
Canada	11116	0.040586822062055924	1.0734365439762588	01-2021
Japan	8558	0.03124703339394338	0.7043222103491974	01-2021
Switzerland	7634	0.02787331770616543	1.4049521876585591	01-2021
Germany	7139	0.026065970016284384	1.3448204565422095	01-2021
France	6622	0.024178295762408628	1.7594923224278982	01-2021
Spain	5389	0.01967635697125039	1.8674171734943417	01-2021
Sweden	4809	0.017558656647753412	1.4011206151695297	01-2021
Austria	4360	0.015919264500770403	1.5374678044739338	01-2021
Netherlands	3866	0.014115568018343667	1.572029489168161	01-2021
Israel	3335	0.012176776860107638	2.43841132498816	01-2021
Brazil	3112	0.011362557597797592	2.075840514222363	01-2021
Belgium	2614	0.009544256285553632	2.0236861304121576	01-2021
India	2564	0.009361695912838376	1.0523064750905091	01-2021
Italy	2278	0.008317450580907106	1.7294404739977498	01-2021
Slovenia	2111	0.007707698936038148	2.1176902664000856	01-2021
Norway	1841	0.006721872923375761	1.458506414241116	01-2021
South Africa	1744	0.006367705800308162	4.488295760638809	01-2021
Finland	1391	0.0050788295689384476	1.9060719178840668	01-2021
Philippines	1244	0.004542102073155593	0.9597203002731872	01-2021
Portugal	1166	0.004257307891719792	1.4034355571848418	01-2021
Ireland	981	0.003581834512673341	2.713505712087396	01-2021
Indonesia	865	0.003158294447973945	0.8983075694055722	01-2021
Mexico	794	0.00289905871871828	1.2512270703567532	01-2021
Czech Republic	705	0.002574101255285123	1.8268814058250464	01-2021
Mayotte	678	0.002475518654018884	3.2230982821431144	01-2021
Luxembourg	588	0.0021469099831314216	1.474067883723552	01-2021
Turkey	577	0.002106746701134065	2.616514988043417	01-2021
Poland	557	0.0020337225520479624	1.0924015766709103	01-2021
USA	468308	0.34375896910773207	15.396288762050624	01-2022
United Kingdom	307126	0.22544418875223424	15.541166771243716	01-2022
Germany	66152	0.048558519872423045	14.009366675468897	01-2022
Denmark	61573	0.04519732954566308	14.466416470639231	01-2022
France	49667	0.03645779426931363	14.662228586553947	01-2022
Japan	45698	0.03354437116232296	16.720424986365373	01-2022
India	34218	0.025117538895189438	13.427537503922624	01-2022
Canada	29203	0.02143630511298782	15.451319474162007	01-2022
Brazil	27530	0.020208248459423848	15.171496768169808	01-2022
Poland	21352	0.015673320781170286	12.889577466388946	01-2022
Sweden	16933	0.01242957759402194	14.584217535422948	01-2022
Belgium	16470	0.012089714933770824	15.049333280660816	01-2022
Spain	12311	0.009036823348491355	14.474728902525396	01-2022
Switzerland	12241	0.008985440224911273	14.820661034229426	01-2022
Italy	12056	0.00884964196973534	14.35109974396521	01-2022
Australia	11083	0.008135416551972195	14.976181814196536	01-2022
Israel	11033	0.008098714320843563	15.016337344506368	01-2022
Austria	9864	0.0072406161570561876	10.679133374768895	01-2022
Ireland	8957	0.006574837684382833	15.36996765737361	01-2022
Netherlands	8829	0.0064808799726935405	14.758987145323816	01-2022
Mexico	7486	0.00549505804457853	15.201921057794436	01-2022
Slovenia	7161	0.005256493542242433	14.600248929265858	01-2022
Indonesia	7066	0.005186759303098035	14.654369581740736	01-2022
Norway	5946	0.004364629325816717	14.81771080504898	01-2022
Croatia	5810	0.004264799257146842	13.405996377334631	01-2022
Russia	5655	0.004151022340648088	11.062766815138575	01-2022
Czech Republic	5548	0.004072479566032819	13.681064232845811	01-2022
Turkey	4737	0.0034771693771264356	15.631373765591588	01-2022
Turkey	4737	0.0034771693771264356	15.631373765591588	01-2022
Philippines	4493	0.0032980624892187194	14.216241263941107	01-2022
Slovakia	4199	0.0030822533701823735	13.074814835069589	01-2022
South Korea	3925	0.0028811251435974794	11.567337464337772	01-2022
Thailand	3887	0.0028532314479397204	13.880742050138872	01-2022
Colombia	3610	0.0026499010874871083	14.93560829883658	01-2022
Luxembourg	3359	0.0024656558872213842	15.131932136323655	01-2022
Finland	3054	0.0022417722773367395	15.157643664432284	01-2022
Bulgaria	2956	0.002169835904324624	12.842161571172207	01-2022
South Africa	2954	0.0021683678150794788	14.650600460189237	01-2022
Peru	2560	0.0018791542337858718	14.467486740797307	01-2022
Portugal	2516	0.0018468562703926772	14.791369120441578	01-2022
Iceland	2347	0.0017228027291779067	13.945375103755117	01-2022
Lithuania	2156	0.001582600206266539	12.99878654218932	01-2022
Chile	2101	0.0015422277520250455	14.709688805022695	01-2022
Malaysia	1889	0.001386610292039653	12.01913171223045	01-2022
Romania	1816	0.0013330250345918529	14.341260287772943	01-2022
Latvia	1572	0.001153918146684137	13.352329983178098	01-2022
Argentina	1497	0.0010988647999911915	14.73069947540091	01-2022
Reunion	1471	0.0010797796398043036	13.576885638622745	01-2022
Puerto Rico	1434	0.0010526199887691172	15.780308469984634	01-2022
Singapore	1313	0.0009638005894378319	13.9682360314198	01-2022
New Zealand	1298	0.0009527899200992428	12.392967535927518	01-2022
Hong Kong	1265	0.0009285664475543468	14.458332578853806	01-2022
Bangladesh	983	0.0007215658639888718	13.171574079958637	01-2022
Kenya	978	0.0007178956408760088	15.520280470703856	01-2022
Cyprus	869	0.0006378847770155948	14.535671533390309	01-2022
Ecuador	758	0.0005564058239100355	14.654068800187936	01-2022
Senegal	744	0.000546129199194019	13.705614312925302	01-2022
Kazakhstan	739	0.000542458976081156	13.26448172022519	01-2022
Estonia	733	0.0005380547083457203	14.72092897069279	01-2022
Brunei	683	0.00050135247721709	12.801663176512315	01-2022
Nepal	573	0.00042060756873410336	13.566907772515025	01-2022
Greece	547	0.0004015224085472156	14.608908817382035	01-2022
Vietnam	533	0.0003912457838311991	9.28566653806055	01-2022
Botswana	501	0.0003677563559088757	15.062653313552437	01-2022
USA	76739	0.3153415628390151	17.92030523786254	01-2023
Japan	26991	0.11091340938229396	16.659379139419634	01-2023
United Kingdom	17082	0.07019461520760051	18.37652585441131	01-2023
Canada	15657	0.06433890002958677	17.149387756077836	01-2023
Germany	14907	0.061256944672737436	17.276702551829707	01-2023
Austria	10665	0.04382540517439758	16.48595037718991	01-2023
South Korea	7595	0.03120993458036096	18.5497808861236	01-2023
China	6716	0.027597882902133535	15.800094881308384	01-2023
Denmark	5873	0.024133765081034878	17.783685394145987	01-2023
Australia	5438	0.022346230974062263	18.87488495331373	01-2023
France	5101	0.020961405700384628	17.133218761534923	01-2023
Sweden	5038	0.020702521450409284	17.657951042788756	01-2023
Italy	4113	0.016901443176961767	16.801044640079738	01-2023
Spain	3869	0.01589878036753345	17.056690179899043	01-2023
Netherlands	2986	0.012270291594069496	17.717292713228016	01-2023
Ireland	2274	0.009344488641967191	18.47372023035317	01-2023
Brazil	2231	0.009167789868174497	17.027588240464848	01-2023
Mexico	2022	0.008308951642065814	17.707941610407552	01-2023
Greece	1471	0.006044741773233834	17.655872607248448	01-2023
Israel	1465	0.006020086130379039	17.513426194209522	01-2023
New Zealand	1273	0.005231105559025609	19.21823479204856	01-2023
Belgium	1264	0.005194122094743417	17.389514498418652	01-2023
South Africa	1246	0.005120155166179033	17.044340082787112	01-2023
Russia	1131	0.004647588678128801	18.94050382280179	01-2023
Singapore	1104	0.004536638285282225	18.73410129759139	01-2023
Luxembourg	1039	0.004269535487688616	17.50274302912389	01-2023
Chile	1008	0.00414214799960551	17.285881171889997	01-2023
Puerto Rico	906	0.003723002071074	18.384139142419617	01-2023
Slovenia	821	0.0033737137972977417	17.263855582580682	01-2023
Peru	819	0.0033654952496794768	19.77106120031936	01-2023
Finland	785	0.0032257799401689733	17.125655480690536	01-2023
Costa Rica	712	0.0029258029521023045	18.240061037135906	01-2023
Reunion	697	0.0028641638449653176	17.340747601859732	01-2023
Argentina	659	0.0027080114402182848	16.901770626165753	01-2023
Croatia	579	0.0023792695354876887	17.040491653406757	01-2023
Portugal	553	0.002272428416450245	17.538311163170864	01-2023
India	541	0.0022231171307406554	17.782431207139464	01-2023
Switzerland	501	0.0020587461783753576	17.26553686238607	01-2023
China	545	0.2700693756194252	0.0756100262510725	02-2020
Italy	203	0.10059464816650149	0.192290395829015	02-2020
United Kingdom	174	0.08622398414271557	0.1594121090820457	02-2020
Japan	159	0.07879088206144698	0.0562478590021494	02-2020
Hong Kong	159	0.07879088206144698	0.0812825243356638	02-2020
USA	148	0.07333994053518335	0.1005139988941572	02-2020
South Korea	137	0.06788899900891972	0.0559530705421222	02-2020
Iran	63	0.031219028741328047	0.082719650970479	02-2020
France	50	0.024777006937561942	0.2327595500543967	02-2020
Singapore	42	0.02081268582755203	0.0721721046605355	02-2020
Germany	40	0.019821605550049554	0.1739737601176962	02-2020
Switzerland	28	0.013875123885034688	0.2829823855668975	02-2020
Spain	28	0.013875123885034688	0.1289903510218603	02-2020
Australia	24	0.011892963330029732	0.0932618214001417	02-2020
United Arab Emirates	23	0.011397423191278493	0.818675610443521	02-2020
Netherlands	21	0.010406342913776016	0.3284081232322598	02-2020
USA	84578	0.2808482095420253	1.2874247669859324	02-2021
United Kingdom	61527	0.2043054670066943	3.473627186656	02-2021
Germany	19065	0.06330690149824673	2.2502142060271924	02-2021
Sweden	18489	0.06139424609499522	2.6984082628697386	02-2021
Canada	10770	0.03576267134204654	2.010972939837483	02-2021
Denmark	9285	0.03083160663053873	2.4904078459387105	02-2021
Austria	8233	0.027338354053766868	1.9722497838830169	02-2021
France	8047	0.0267207257464669	2.311637526910213	02-2021
Italy	6677	0.02217152799914993	2.6448766695830632	02-2021
Spain	6127	0.02034520773562852	2.3515321516505234	02-2021
Netherlands	5364	0.017811603442779725	2.515985723462683	02-2021
Switzerland	4256	0.01413239825735841	2.607293296267119	02-2021
India	3998	0.013275688024652003	1.656297993348285	02-2021
Brazil	3981	0.013219238125597705	3.663259124672554	02-2021
Belgium	3925	0.013033285516948252	2.718051860996918	02-2021
Ireland	3320	0.0110243332270747	3.327230949738972	02-2021
Israel	3289	0.010921395175858039	3.217207996778933	02-2021
Finland	3173	0.010536207629369887	2.81318674736799	02-2021
Japan	3043	0.010104531930719371	1.1077765546179776	02-2021
Slovenia	2870	0.009530071193284454	2.376525672876714	02-2021
Norway	2860	0.009496865370311337	2.491178275334246	02-2021
Turkey	1923	0.0063854797577303155	1.3311289750258997	02-2021
Lithuania	1901	0.006312426947189459	1.6335886734569798	02-2021
Mexico	1840	0.006109871427053448	1.4087091642977918	02-2021
Poland	1687	0.005601822335564765	2.471536137619089	02-2021
Czech Republic	1440	0.004781638508128785	3.068265039330357	02-2021
Luxembourg	1124	0.003732334502178302	2.885050644296305	02-2021
Portugal	1044	0.0034666879183933696	2.4722588167688886	02-2021
Croatia	902	0.0029951652321751144	2.318366025357102	02-2021
Latvia	871	0.002892227180958453	1.5443231002885685	02-2021
Philippines	845	0.0028058920412283497	2.1314381878698185	02-2021
South Korea	796	0.002643183508660079	1.4102294999553004	02-2021
Russia	764	0.0025369248751461056	2.045159419634357	02-2021
South Africa	658	0.00218494315163107	4.760027054177647	02-2021
Greece	652	0.0021650196578472	2.9331675157721206	02-2021
Estonia	606	0.002012272872170864	1.7222811390408164	02-2021
Reunion	556	0.001846243757305281	3.382290119104993	02-2021
Bulgaria	535	0.0017765115290617362	3.328382026565213	02-2021
Indonesia	529	0.0017565880352778662	1.0514150148378112	02-2021
United Kingdom	274451	0.28965040500250655	15.681519100166735	02-2022
USA	229075	0.24176143109680484	16.120377734454067	02-2022
Germany	80521	0.08498034352655602	15.544758388611312	02-2022
Denmark	53932	0.056918814806997176	14.512939804042816	02-2022
France	40090	0.0423102292815493	15.527402225273718	02-2022
India	21821	0.0230294715179019	14.21488135872003	02-2022
Japan	21685	0.022885939684968735	17.31093185049671	02-2022
Canada	18811	0.01985277433313105	16.039296316093598	02-2022
Sweden	15575	0.01643756101422126	14.846645994528734	02-2022
Belgium	13501	0.014248700561990449	15.465494456839652	02-2022
Brazil	13048	0.013770612912588059	15.696133677274371	02-2022
Poland	12274	0.01295374792221841	15.61998000810424	02-2022
Austria	9789	0.01033112582781457	13.209434327312742	02-2022
Spain	9372	0.009891031898894488	15.631490937116956	02-2022
Switzerland	9303	0.009818210601303395	15.673698794753715	02-2022
Israel	9025	0.009524814648690007	15.54389604398127	02-2022
Australia	7539	0.007956518297670245	15.667041516978545	02-2022
Netherlands	7031	0.007420384686419883	15.66133646157224	02-2022
Italy	6380	0.006733331574364792	15.734342011338384	02-2022
Norway	5597	0.005906968153874568	15.114812472742337	02-2022
Slovakia	4813	0.005079549352259835	15.600911538095549	02-2022
Slovenia	4639	0.0048959130365953405	16.08362880858839	02-2022
South Korea	4587	0.0048410332181208935	15.069688881727387	02-2022
Czech Republic	4264	0.00450014511490462	15.567190840407612	02-2022
Thailand	3556	0.0037529352787525395	15.390646566028185	02-2022
Mexico	3501	0.003694889316904567	16.163917812604584	02-2022
Croatia	3347	0.0035323606237302446	15.981849969309604	02-2022
Russia	3276	0.003457428563890135	14.715792809904665	02-2022
Luxembourg	2960	0.003123928128545421	15.620234121584918	02-2022
Lithuania	2668	0.0028157568401889132	15.409956604033187	02-2022
Turkey	2644	0.002790427693200707	15.154501876412338	02-2022
Malaysia	2496	0.002634231286773436	15.149262553431164	02-2022
Indonesia	2472	0.00260890213978523	15.43731609062518	02-2022
Bahrain	2394	0.00252658241207356	14.626487416697254	02-2022
Greece	2298	0.0024252658241207354	15.787823189246978	02-2022
Peru	2243	0.0023672198622727634	16.03894376246703	02-2022
Finland	2092	0.0022078573124719664	15.86635710663677	02-2022
Romania	2011	0.002122371441386771	15.257340904548723	02-2022
Bulgaria	2004	0.0021149837735152106	15.487251769975726	02-2022
Portugal	1981	0.002090710007651513	15.59481662535206	02-2022
Ireland	1899	0.002004168755441809	15.34885932566409	02-2022
Latvia	1875	0.0019788396084536026	15.041342193671444	02-2022
New Zealand	1438	0.0015176380570433498	15.682481716258584	02-2022
Philippines	1373	0.0014490382839502916	14.67922731710114	02-2022
Hong Kong	1346	0.0014205429935885596	15.18561418077234	02-2022
Chile	1272	0.001342444790374924	16.16498359902481	02-2022
South Africa	1249	0.0013181710245112265	14.362137200468272	02-2022
Iceland	1137	0.0011999683385662647	14.371930969571643	02-2022
Singapore	1022	0.0010785995092477772	15.327505564242788	02-2022
Colombia	852	0.0008991847180813171	16.00580482029962	02-2022
Cyprus	750	0.0007915358433814411	15.80734089847159	02-2022
Puerto Rico	743	0.000784148175509881	15.661607586792318	02-2022
Mauritius	695	0.0007334898815334688	15.076080510409607	02-2022
Vietnam	645	0.0006807208253080394	11.541177016823784	02-2022
Ecuador	617	0.0006511701538217989	16.138426718707713	02-2022
Argentina	608	0.0006416717237012216	15.8689932527269	02-2022
Estonia	597	0.0006300625313316272	15.132951263098697	02-2022
Iran	537	0.0005667396638611118	15.495589240684774	02-2022
Reunion	532	0.0005614627582385689	15.65530515198822	02-2022
USA	58107	0.31886276833925986	18.872546829270828	02-2023
United Kingdom	18567	0.10188660608455156	19.247818100316564	02-2023
Germany	14522	0.07968962641029018	18.230309157349577	02-2023
Canada	11536	0.06330392027744852	18.149860130215664	02-2023
Austria	11158	0.06122964133631854	17.74845563770288	02-2023
Japan	9908	0.054370253303481275	17.079143437806305	02-2023
South Korea	7084	0.038873523859695336	19.242393445749684	02-2023
China	4401	0.024150533386013435	15.984634773285595	02-2023
Australia	3662	0.020095263181000043	19.12879648975355	02-2023
France	3550	0.019480662013257825	18.34533154458613	02-2023
Netherlands	2806	0.015397954256113086	18.73195328035429	02-2023
Italy	2749	0.015085166161815707	17.5738569340122	02-2023
Brazil	2655	0.014569340181746345	18.75746380473574	02-2023
Spain	2579	0.014152289389349839	18.179671264189384	02-2023
Denmark	2374	0.01302734975196453	18.60220436910979	02-2023
